producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,2,beegfs,30,491.26210801853205,359.70516027240905,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,14,beegfs,30,506.77741292337936,375.22046517725636,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,15,beegfs,30,511.01275554917396,379.45580780305096,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,16,beegfs,30,515.3448035470574,383.78785580093444,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,2,beegfs,60,530.6429904945402,359.70516027240905,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-beegfs,14,beegfs,60,546.1582953993875,375.22046517725636,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-ssd,14,ssd,150,548.1857128736794,446.74950294020573,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd-ssd,15,ssd,150,548.4720826,447.03587271385817,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd-ssd,16,ssd,150,548.7588197868032,447.3226098533295,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd-beegfs,15,beegfs,60,550.3936380251821,379.45580780305096,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-beegfs,16,beegfs,60,554.7256860230656,383.78785580093444,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,16,tmpfs,30,576.0701970887646,560.2356753275565,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,16,tmpfs,60,578.5967883035952,560.2356753275565,18.36111297603876
stage_in-individuals,0.5,individuals,1,ssd-beegfs,5,beegfs,30,579.4235415005708,447.86659375444776,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,15,tmpfs,30,594.7814404667345,578.9469187055263,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,15,tmpfs,60,597.3080317,578.9469187055263,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,16,tmpfs,150,601.4491386351835,560.2356753275565,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,14,tmpfs,30,614.7857396,598.9512177910258,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,14,tmpfs,60,617.3123307670645,598.9512177910258,18.36111297603876
stage_in-individuals,0.5,individuals,1,ssd-beegfs,5,beegfs,60,618.804424,447.86659375444776,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,15,tmpfs,150,620.1603820131534,578.9469187055263,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,14,tmpfs,150,640.1646810986529,598.9512177910258,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-ssd,1,ssd,30,657.3861698859865,642.8579220894029,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,1,ssd,60,659.7615306111184,642.8579220894029,16.903608521715448
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,16,beegfs,30,672.7272957944036,541.1703480482806,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,15,beegfs,30,681.7135213846159,550.1565736384929,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,14,beegfs,30,691.0032218323088,559.4462740861858,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,16,beegfs,60,712.1081782704118,541.1703480482806,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,15,beegfs,60,721.0944038606241,550.1565736384929,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,14,beegfs,60,730.3841043,559.4462740861858,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-ssd,1,ssd,150,744.2941320228766,642.8579220894029,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd-beegfs,7,beegfs,30,764.7345162407372,633.1775684946142,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,6,beegfs,30,765.4567075036942,633.8997597575712,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,1,beegfs,30,773.0045047810773,641.4475570349543,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,7,beegfs,60,804.1153987167454,633.1775684946142,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-beegfs,6,beegfs,60,804.8375899797024,633.8997597575712,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,1,beegfs,60,812.3853872570855,641.4475570349543,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,1,tmpfs,30,869.4386431177311,853.6041213565229,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,1,tmpfs,60,871.9652343325616,853.6041213565229,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,1,tmpfs,150,894.8175847,853.6041213565229,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,5,beegfs,30,966.7704456314891,835.2134978853661,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,6,beegfs,30,966.7704456314891,835.2134978853661,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,5,beegfs,60,1006.1513281074973,835.2134978853661,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,6,beegfs,60,1006.1513281074973,835.2134978853661,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-ssd,6,ssd,30,1102.6237795293437,1088.095532,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd-ssd,7,ssd,30,1102.6593873795969,1088.1311395830132,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd-ssd,6,ssd,60,1104.9991402544754,1088.095532,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd-ssd,7,ssd,60,1105.0347481047286,1088.1311395830132,16.903608521715448
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,6,tmpfs,30,1110.3162939939045,1094.4817722326964,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,7,tmpfs,30,1110.9286646036107,1095.0941428424026,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,6,tmpfs,60,1112.8428852087352,1094.4817722326964,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,7,tmpfs,60,1113.4552558184414,1095.0941428424026,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,6,tmpfs,150,1135.6952355403234,1094.4817722326964,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs-tmpfs,7,tmpfs,150,1136.3076061500296,1095.0941428424026,41.213463307627066
stage_in-individuals,0.5,individuals,1,ssd-ssd,6,ssd,150,1189.5317416662338,1088.095532,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd-ssd,7,ssd,150,1189.567349516487,1088.1311395830132,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,5,tmpfs,30,1213.6250626012536,1197.7905408400454,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,6,tmpfs,30,1213.6250626012536,1197.7905408400454,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,5,tmpfs,60,1216.1516538160843,1197.7905408400454,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,6,tmpfs,60,1216.1516538160843,1197.7905408400454,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,5,tmpfs,150,1239.0040041476725,1197.7905408400454,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,6,tmpfs,150,1239.0040041476725,1197.7905408400454,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs,1,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,2,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,5,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,9,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,10,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,11,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,23,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,25,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,27,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,28,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,29,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,30,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,31,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,32,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,34,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,60,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,beegfs,150,beegfs,150,1416.964875293468,0,1416.964875293468
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,7,beegfs,150,1551.9501713446843,134.98529605121647,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,3,beegfs,30,1654.8439776338232,1523.28703,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,4,beegfs,30,1654.8439776338232,1523.28703,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,2,beegfs,30,1671.3108506689214,1539.7539029227985,131.5569477
stage_in-individuals,0.5,individuals,1,ssd-beegfs,3,beegfs,60,1694.2248601098313,1523.28703,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-beegfs,4,beegfs,60,1694.2248601098313,1523.28703,170.93783022213117
stage_in-individuals,0.5,individuals,1,ssd-beegfs,2,beegfs,60,1710.6917331449297,1539.7539029227985,170.93783022213117
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,3,beegfs,150,1716.0631450356996,299.0982697422316,1416.964875293468
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,4,beegfs,150,1716.0631450356996,299.0982697422316,1416.964875293468
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,2,beegfs,150,1776.670035565877,359.70516027240905,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,14,beegfs,150,1792.1853404707242,375.22046517725636,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,15,beegfs,150,1796.4206830965188,379.45580780305096,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,16,beegfs,150,1800.7527310944024,383.78785580093444,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,5,beegfs,150,1864.8314690479156,447.86659375444776,1416.964875293468
stage_in-individuals,0.5,individuals,1,ssd-beegfs,1,beegfs,30,1937.8258287462177,1806.2688810000948,131.5569477
stage_in-individuals,0.5,individuals,1,tmpfs-beegfs,16,beegfs,150,1958.1352233417485,541.1703480482806,1416.964875293468
